ID,標籤,主旨,主分類,次分類,檔案名稱,類型,路徑,啟用,負責人,創建日期,最後更新人,最後更新日期
b6c7fe9a-7b7a-42a7-bb28-2334da8bb79f,Office;微軟;EMail,OUTLOOK-自動回覆設定,軟體安裝及操作,Mail,OUTLOOK_AutoReply.mht,html,http://sai-wsus12/faq/OUTLOOK_AutoReply.mht,Y,SystemTransfert,2018/08/27,SystemTransfert,2018/08/27
722d4129-66ed-4bf2-a311-ac28e11e3d5b, ,【３Ｄ繪圖】AutoCAD - 軟體安裝教學,工程軟體,安裝手冊,setup_AutoCAD.mht,html,http://sai-wsus12/faq/engineering/setup_AutoCAD.mht,Y,SystemTransfert,2010/06/03,SystemTransfert,2010/06/03
650687e4-654b-40da-ab0e-0f2434767dc1, ,【２Ｄ繪圖】ZwCAD 2012標準版安裝步驟,工程軟體,安裝手冊,Setup-ZwCAD.mht,html,http://sai-wsus12/faq/engineering/Setup-ZwCAD.mht,Y,SystemTransfert,2010/06/03,SystemTransfert,2010/06/03
f1d3c185-d9c7-45a0-a7fa-51ce6f95d20a, ,Minitab 16安裝教學,工程軟體,安裝手冊,minitabe16安裝教學.mht,html,http://sai-wsus12/faq/engineering/minitabe16安裝教學.mht,Y,SystemTransfert,2011/01/04,SystemTransfert,2011/01/04
cc73391d-fc2a-4ceb-85d9-c643e66369f8, ,Mastercam X4 安裝教學,工程軟體,安裝手冊,MastercamX4安裝教學.mht,html,http://sai-wsus12/faq/engineering/MastercamX4安裝教學.mht,Y,SystemTransfert,2011/06/14,SystemTransfert,2011/06/14
8a70ea4c-1d2d-40fd-b140-c7985cbf5e57, ,POWER MILL 2013 安裝流程,工程軟體,安裝手冊,POWER MILL 2013 安裝流程.mht,html,http://sai-wsus12/faq/engineering/POWER%20MILL%202013%20安裝流程.mht,Y,SystemTransfert,2013/12/16,SystemTransfert,2013/12/16
8b47f535-809a-4fab-b99f-fa415405b88d, ,Proe 安裝步驟說明,工程軟體,安裝手冊,proe_setup.mht,html,http://sai-wsus12/faq/engineering/proe_setup.mht,Y,SystemTransfert,2011/05/25,SystemTransfert,2011/05/25
a8c23a76-bd05-4e13-aba2-1272ac300171, ,Abaqus Install-6.13-正版安裝說明,工程軟體,安裝手冊,Abaqus Install-6.13-正版安裝說明.pdf,html,http://sai-wsus12/faq/engineering/Abaqus%20Install-6.13-正版安裝說明.pdf,Y,SystemTransfert,1900/01/01,SystemTransfert,1900/01/01
b0db15d0-ed9f-4113-891d-904281ba413f, ,Abaqus613-正版安裝說明,工程軟體,安裝手冊,Abaqus613-正版安裝說明.pptx,html,http://sai-wsus12/faq/engineering/Abaqus613-正版安裝說明.pptx,Y,SystemTransfert,1900/01/01,SystemTransfert,1900/01/01
654bcb11-232c-4fb3-870d-a062f2fa8764, ,KeyShot 網路版安裝說明,工程軟體,安裝手冊,keyshot_setup.pdf,html,http://sai-wsus12/faq/keyshot_setup.pdf,Y,SystemTransfert,2016/06/17,SystemTransfert,2016/06/17
ef4d3114-73df-4a32-842c-f91b4ac3ee9d, ,FireFox安裝流程,BPM,FAQ,FireFox安裝流程.mht,html,http://sai-wsus12/faq/BPM/FireFox安裝流程.mht,Y,SystemTransfert,2013/04/24,SystemTransfert,2013/04/24
0ccca22b-b93a-47da-b464-aded49236102,印表機,BPM列印功能無法使用,BPM,FAQ,STEP 1.mht,html,http://sai-wsus12/faq/BPM/STEP%201.mht,Y,SystemTransfert,2013/04/24,SystemTransfert,2013/04/24
e167b2ca-66df-4d5d-8bf1-0e3b352a8263, ,巨集開啟方式,BPM,FAQ,巨集開啟方式.mht,html,http://sai-wsus12/faq/BPM/巨集開啟方式.mht,Y,SystemTransfert,2013/04/24,SystemTransfert,2013/04/24
02ace49e-f8fd-4477-8b79-4c94a6ede846, ,輪班表班別轉換巨集使用方法,BPM,FAQ,巨集使用方法.mht,html,http://sai-wsus12/faq/BPM/巨集使用方法.mht,Y,SystemTransfert,2013/04/24,SystemTransfert,2013/04/24
4ab4b9fa-e6d8-4e56-8472-b7f926619fd3,外出;代理人,BPM外出設置,BPM,操作手冊,BPM_外出設置.mht,html,http://sai-wsus12/faq/BPM/BPM_外出設置.mht,Y,SystemTransfert,2013/04/24,SystemTransfert,2013/04/24
4b41f366-593a-4e39-9020-6eb0e2bcc3da,附件,BPM上的無法附檔之解決方法,BPM,FAQ,BPM上的無法附檔之解決方法.mht,html,http://sai-wsus12/faq/BPM/BPM上的無法附檔之解決方法.mht,Y,SystemTransfert,2013/04/24,SystemTransfert,2013/04/24
6dfadc97-6346-4101-81ed-0c1b3987866a, ,資訊服務申請單操作流程,BPM,操作手冊,BPM_資訊服務申請單操作流程.mht,html,http://sai-wsus12/faq/BPM/BPM_資訊服務申請單操作流程.mht,Y,SystemTransfert,2013/11/27,SystemTransfert,2013/11/27
67e6cf7b-0f14-4102-8505-a3385309249c, ,資訊服務申請單-檔案伺服器資料夾權限申請流程說明,BPM,操作手冊,file_step.mht,html,http://sai-wsus12/faq/BPM/file_step.mht,Y,SystemTransfert,2013/11/27,SystemTransfert,2013/11/27
